nivel,tasa_acept,contr_ventas
1,18.79,0.006654
1,50.0,0.000196
1,38.6,0.016244
1,21.95,0.003523
2,51.38,0.046748
1,43.34,0.01781
2,34.67,0.032684
1,33.94,0.011351
2,36.85,0.00959
3,31.73,0.009003
2,37.43,0.010764
1,32.5,0.005089
3,39.43,0.010568
2,47.93,0.015657
2,38.57,0.005284
1,29.53,0.015657
1,28.53,0.020158
2,45.5,0.043448
2,45.27,0.01781
3,25.0,0.004306
2,32.0,0.034623
2,55.75,0.02192
1,37.95,0.01233
3,40.82,0.003914
1,28.15,0.014483
2,43.58,0.081416
2,46.92,0.025247
2,48.2,0.075349
2,40.23,0.070839
2,52.04,0.070261
2,36.44,0.008416
2,37.33,0.00548
2,44.93,0.057735
1,33.55,0.010373
3,46.68,0.01918
2,43.43,0.014874
2,39.94,0.078676
2,38.1,0.007828
2,33.22,0.015853
1,38.95,0.044418
2,45.14,0.026225
3,25.86,0.002936
3,36.0,0.001761
1,41.57,0.125807
1,32.33,0.008416
1,25.8,0.00959
1,30.23,0.010177
1,34.96,0.008416
2,30.21,0.005676
1,44.25,0.046579
1,23.37,0.017418
1,48.31,0.008416
1,25.87,0.007241
2,40.62,0.007633
1,27.1,0.005676
1,31.18,0.005676
2,45.65,0.01644
1,30.5,0.011156
3,36.21,0.011547
3,54.12,0.009003
1,39.8,0.007633
2,35.96,0.008024
2,55.1,0.021137
1,33.2,0.015853
2,62.93,0.014287
2,42.42,0.00822
3,40.62,0.01781
2,40.32,0.039142
1,36.94,0.008024
2,31.81,0.016244
1,33.72,0.022694
2,37.62,0.007437
2,41.97,0.015853
2,39.9,0.01507
2,25.71,0.001761
1,,0.0
1,28.64,0.015853
3,37.12,0.035806
1,45.94,0.012134
1,34.14,0.016636
1,30.11,0.01096
2,43.34,0.020354
2,35.71,0.028574
2,43.48,0.003914
2,34.67,0.037381
2,35.86,0.014874
2,33.61,0.007828
1,41.06,0.016636
1,34.53,0.022507
1,47.44,0.007241
1,37.66,0.105062
1,39.39,0.007633
2,39.86,0.034641
1,49.16,0.027791
3,47.1,0.033262
1,42.47,0.032488
2,39.95,0.026421
2,36.87,0.050494
1,34.07,0.172155
1,47.72,0.042861
2,37.69,0.020354
2,38.85,0.045601
2,,0.0
2,35.89,0.029357
2,31.06,0.008024
1,33.33,0.011938
1,26.28,0.008024
1,49.16,0.016831
2,34.22,0.040699
1,35.51,0.00959
1,22.67,0.003327
1,44.86,0.022115
2,48.12,0.027204
1,38.89,0.00685
3,35.11,0.010373
1,36.76,0.033662
1,32.37,0.025834
1,31.06,0.02466
1,33.47,0.016636
2,34.38,0.002153
2,42.87,0.018788
2,39.99,0.117196
2,53.17,0.075545
2,42.11,0.01096
2,33.89,0.028574
2,42.74,0.037381
2,33.12,0.018788
3,34.96,0.023877
1,34.15,0.00548
1,23.48,0.006067
1,27.06,0.02192
1,18.57,0.005089
1,34.42,0.042078
2,36.76,0.026617
1,35.98,0.016048
1,44.26,0.030914
1,34.62,0.014091
1,31.19,0.032097
1,29.55,0.007633
2,50.0,0.00822
3,43.88,0.041295
1,29.17,0.01096
3,19.87,0.011156
1,30.36,0.009981
1,37.7,0.014091
2,44.01,0.023681
2,41.34,0.018201
2,36.29,0.008807
1,33.81,0.038164
3,33.51,0.013113
3,43.65,0.039534
3,53.66,0.030335
3,28.29,0.019375
3,34.44,0.038751
3,35.49,0.012917
3,29.11,0.009003
3,46.08,0.038947
1,34.41,0.043839
1,24.33,0.008807
2,25.69,0.007241
1,34.21,0.010177
1,45.95,0.009981
2,33.05,0.015266
1,28.3,0.019375
2,40.83,0.275287
2,27.95,0.007437
2,37.1,0.094725
2,35.44,0.01644
1,53.39,0.044818
1,49.01,0.033858
2,36.15,0.009198
1,47.13,0.008024
1,37.72,0.008416
2,45.86,0.016244
2,45.9,0.082982
2,38.04,0.00685
3,43.23,0.159505
1,28.75,0.009003
2,42.0,0.00822
2,47.5,0.014874
1,47.5,0.027791
2,48.18,0.012917
2,56.16,0.037577
2,47.84,0.032292
2,51.21,0.055191
2,36.21,0.014874
2,39.4,0.014874
2,31.92,0.035032
2,24.39,0.001957
2,25.81,0.014287
2,42.69,0.02055
3,24.21,0.004501
1,47.95,0.00685
2,32.0,0.013896
2,28.92,0.004697
2,43.81,0.028378
3,36.57,0.015452
1,57.08,0.019767
2,38.04,0.00685
2,36.54,0.007437
2,52.93,0.155547
1,45.57,0.007046
1,23.87,0.031705
3,34.56,0.049488
1,32.63,0.006067
1,44.77,0.03425
1,23.79,0.022898
3,39.42,0.005089
1,39.76,0.042469
2,26.07,0.024073
3,33.87,0.00411
1,45.63,0.016244
1,43.09,0.585561
2,36.96,0.006654
1,42.52,0.030531
2,40.97,0.051472
2,26.92,0.00959
1,31.94,0.010373
1,51.26,0.020158
2,41.72,0.013308
3,44.05,0.02973
3,43.57,0.03384
1,43.81,0.026225
1,29.07,0.008416
3,34.65,0.013896
1,49.14,0.021528
2,41.83,0.123654
2,54.1,0.018201
2,66.94,0.032488
2,42.94,0.014874
3,37.74,0.027987
1,49.09,0.010568
2,38.93,0.018584
1,51.87,0.046775
3,33.33,0.002349
2,52.55,0.038555
2,32.84,0.004306
2,40.7,0.00685
1,35.86,0.015853
1,48.03,0.021528
1,34.51,0.013504
1,47.17,0.024464
2,21.8,0.005676
2,44.47,0.060644
1,40.29,0.011351
2,26.67,0.008611
1,34.44,0.006067
2,36.8,0.013896
1,33.8,0.004697
2,30.69,0.010568
1,35.92,0.024464
2,34.61,0.053234
3,38.51,0.04166
2,49.11,0.026813
1,29.55,0.005089
3,41.4,0.01507
2,38.55,0.006263
1,42.23,0.065937
2,,0.0
2,47.37,0.029748
2,42.14,0.101966
1,40.2,0.052059
2,29.52,0.006067
1,41.57,0.007241
2,33.82,0.004501
1,34.98,0.013896
2,47.5,0.014874
1,32.14,0.008807
2,50.46,0.021333
1,40.53,0.317116
1,44.21,0.00822
1,48.11,0.062023
1,49.68,0.041491
1,58.9,0.01233
3,28.77,0.00411
1,30.48,0.006263
1,42.11,0.006263
1,32.46,0.007241
1,47.19,0.00822
1,38.41,0.161018
1,52.36,0.015266
2,48.65,0.007046
1,23.3,0.004697
2,41.23,0.009198
1,46.43,0.007633
2,50.0,0.005089
2,42.25,0.005871
1,45.45,0.005871
1,71.43,0.002936
2,31.38,0.044008
1,31.3,0.007046
2,47.5,0.03699
3,48.72,0.007437
2,55.06,0.017027
3,37.76,0.018397
2,47.81,0.027791
3,41.59,0.056143
1,43.0,0.008416
2,44.21,0.00822
1,41.05,0.015266
1,45.12,0.007241
1,55.0,0.014091
1,29.53,0.02877
2,31.79,0.009394
1,29.14,0.009981
2,44.86,0.009394
3,37.66,0.023868
2,39.51,0.012526
3,38.67,0.035406
1,23.12,0.008416
3,40.98,0.03247
1,26.92,0.00822
1,39.26,0.012526
2,30.69,0.016636
3,39.88,0.028165
2,38.14,0.008807
3,35.24,0.018201
3,41.19,0.03384
2,32.15,0.015853
1,59.33,0.044222
2,26.36,0.015266
1,40.29,0.01096
3,32.45,0.03384
3,45.41,2.762687
3,44.46,0.036794
1,43.03,0.03014
1,44.86,0.152646
1,48.48,0.009394
1,45.65,0.014287
2,47.74,0.018593
2,47.01,0.01233
2,49.58,0.023094
2,35.85,0.007437
1,36.22,0.046775
2,40.41,0.015266
1,41.89,0.064576
2,48.24,0.016048
2,56.56,0.026225
3,18.55,0.004501
2,28.53,0.014287
1,41.78,0.014874
2,34.14,0.008416
1,25.0,0.003523
1,25.34,0.007633
1,33.82,0.0137
2,40.85,0.011351
1,15.09,0.005284
1,25.98,0.009198
1,36.41,0.028574
2,44.7,0.019767
1,46.85,0.010177
1,43.67,0.033075
2,41.24,0.039142
2,39.16,0.115666
2,44.59,0.101966
2,32.16,0.037185
3,37.14,0.007633
1,22.63,0.016831
2,27.71,0.004501
1,28.06,0.007633
2,36.94,0.008024
2,42.97,0.010764
2,41.0,0.027595
3,49.12,0.021137
2,46.36,0.0274
1,24.0,0.005871
3,50.48,0.041678
1,34.71,0.011547
1,27.01,0.009198
3,35.74,0.017409
2,42.86,0.005871
3,36.43,0.019171
1,30.21,0.005676
2,54.76,0.004501
3,41.72,0.142265
3,35.76,0.180055
3,41.69,1.400426
3,50.16,0.030335
1,42.61,0.00959
2,26.13,0.0137
2,21.39,0.012134
3,52.48,0.057708
2,38.78,0.033458
3,28.71,0.017018
3,45.62,0.036598
2,35.25,0.060279
1,28.23,0.00685
1,29.71,0.011743
2,38.7,0.012721
3,37.53,0.046766
2,44.03,0.019375
1,36.71,0.025638
3,27.07,0.019171
3,31.69,0.034036
3,39.47,0.002936
3,,0.0
3,54.79,0.009003
3,46.26,0.031492
2,45.98,0.07494
2,47.92,0.137336
2,38.46,0.003914
2,41.11,0.062014
1,29.69,0.007437
2,35.74,0.018388
3,47.5,0.020158
1,27.35,0.022898
3,40.06,0.251294
2,42.3,0.06438
2,32.76,0.003719
1,42.45,0.064781
2,41.67,0.007828
2,43.19,0.018005
1,39.31,0.024073
1,66.67,0.000391
1,21.88,0.00548
3,35.8,0.022694
1,33.33,0.007241
2,49.44,0.008611
1,36.46,0.028174
1,54.72,0.005676
1,32.5,0.022889
1,26.56,0.006654
2,36.93,0.020745
3,27.19,0.018192
1,36.36,0.00548
1,33.94,0.007241
1,28.74,0.004893
2,31.33,0.005089
2,28.8,0.007437
1,25.0,0.000196
2,42.27,0.008024
2,37.5,0.010568
2,52.63,0.007828
2,29.02,0.018788
1,40.52,0.015853
1,26.01,0.010177
2,55.13,0.008416
2,39.45,0.022694
2,39.92,0.161436
2,51.25,0.008024
2,41.0,0.024064
1,43.53,0.091397
2,44.71,0.027204
3,29.21,0.016627
1,27.04,0.008416
3,34.35,0.017605
3,45.04,0.036394
1,49.23,0.06221
1,52.46,0.006263
1,40.8,0.069282
2,54.17,0.002544
1,39.02,0.012526
3,36.63,0.016627
1,39.3,0.371168
3,24.4,0.009786
3,38.77,0.032079
2,38.25,0.025443
2,38.41,0.189956
1,43.12,0.038555
2,33.75,0.010764
2,34.95,0.046971
2,48.25,0.010764
3,43.78,0.031688
3,46.16,0.02836
3,20.89,0.040708
1,39.7,0.014678
1,33.49,0.01507
1,35.83,0.058883
1,35.23,0.015853
1,21.32,0.018397
2,21.53,0.010568
2,46.84,0.046179
2,39.28,0.018593
2,40.53,0.018397
3,45.36,0.024847
1,25.93,0.00411
3,52.84,0.009198
1,35.29,0.007046
2,40.0,0.009003
2,31.67,0.037381
2,54.08,0.010373
2,0.0,0.0
2,59.55,0.010373
2,36.81,0.028378
1,42.34,0.043822
2,29.33,0.008611
1,24.75,0.004893
2,54.48,0.050102
2,39.71,0.020354
1,32.37,0.006458
2,28.29,0.029944
1,28.46,0.00685
3,35.35,0.025033
3,40.74,0.037381
1,61.76,0.00822
3,37.62,0.022889
2,51.31,0.0274
1,24.82,0.013504
2,43.1,0.009786
2,46.58,0.006654
2,54.67,0.016048
2,48.53,0.071212
1,33.15,0.021333
3,50.11,0.045192
1,41.8,0.128956
1,28.84,0.030531
2,46.67,0.032684
1,38.73,0.021137
1,42.7,0.015461
1,46.1,0.017223
2,51.87,0.040495
1,44.16,0.022115
2,39.01,0.010764
1,28.4,0.016831
2,55.42,0.009003
1,45.0,0.003523
1,32.73,0.007046
2,48.51,0.025443
2,40.23,0.181354
1,40.98,0.009786
1,35.95,0.032292
2,45.63,0.015266
2,52.27,0.004501
2,25.41,0.009394
1,39.81,0.008416
3,50.43,0.046188
2,46.51,0.007828
2,48.06,0.137167
1,35.08,0.040904
2,44.64,0.004893
2,37.97,0.033662
3,50.0,0.000196
1,53.92,0.010764
2,37.34,0.027987
1,31.25,0.017614
2,35.16,0.012526
2,52.22,0.009198
1,35.85,0.015853
2,37.5,0.005284
1,20.69,0.002349
2,43.75,0.00685
2,33.33,0.000196
2,35.71,0.005871
1,41.51,0.025825
2,48.28,0.016244
2,37.46,0.03562
3,51.3,0.04617
2,54.55,0.023485
2,35.14,0.114616
3,51.25,0.024064
3,31.09,0.012712
1,55.63,0.015461
1,55.26,0.01233
1,36.03,0.00959
3,31.33,0.019367
3,37.05,0.036972
3,34.88,0.03521
1,23.53,0.006263
2,38.83,0.007828
2,45.19,0.011938
2,45.16,0.045592
2,35.0,0.0137
2,37.62,0.007437
2,52.28,0.121724
2,48.88,0.080616
2,44.73,0.131118
2,71.11,0.006263
1,38.97,0.052842
2,34.69,0.011743
1,27.78,0.005871
2,33.87,0.008611
3,41.88,0.021137
3,39.59,0.071017
2,31.03,0.005284
2,46.39,0.008807
2,32.67,0.006458
2,33.56,0.00959
3,43.56,0.123645
2,41.58,0.054986
2,49.86,0.035602
1,43.13,0.033662
1,33.06,0.046366
1,33.33,0.032275
2,49.23,0.044017
2,46.05,0.026217
2,50.49,0.064194
2,38.84,0.020745
2,46.91,0.013308
1,30.97,0.00685
3,25.99,0.036011
1,30.75,0.019375
3,42.36,0.060244
2,29.63,0.001566
3,44.34,0.043635
2,31.47,0.008807
2,38.64,0.038929
1,41.35,0.015853
2,36.02,0.033262
1,49.45,0.035602
1,,0.0
2,55.63,0.015461
1,48.28,0.016244
2,40.74,0.004306
1,66.1,0.007633
3,36.97,0.006654
2,32.0,0.006263
2,42.66,0.12095
1,37.89,0.029944
2,39.82,0.031705
2,53.95,0.016048
1,36.62,0.032097
1,42.8,0.021519
1,29.53,0.030335
2,49.28,0.019963
2,,0.0
2,36.36,0.003131
2,42.99,0.018593
2,49.71,0.017027
2,40.93,0.037968
2,50.01,0.038742
2,53.47,0.010568
2,39.52,0.00959
2,46.58,0.013308
2,58.58,0.062227
2,37.58,0.025443
1,36.96,0.006654
2,36.68,0.052451
2,40.0,0.001957
2,41.87,0.154612
2,50.54,0.018397
2,45.65,0.02055
2,29.2,0.047362
1,18.42,0.00822
3,34.42,0.035415
1,23.47,0.01644
1,58.35,0.072609
2,46.43,0.025443
2,40.02,0.017223
2,35.76,0.051081
2,39.72,0.01096
1,44.44,0.011743
1,34.51,0.007633
1,37.5,0.009981
2,45.65,0.01644
2,37.8,0.018788
1,31.22,0.029748
1,48.98,0.004697
2,59.41,0.074762
2,36.05,0.006067
2,43.88,0.016831
1,34.51,0.007633
3,29.39,0.01507
1,43.92,0.053625
1,41.48,0.019963
1,51.32,0.007633
2,49.28,0.902926
1,38.04,0.024268
1,30.67,0.009003
2,34.57,0.023877
2,48.86,0.020354
2,42.71,0.022311
1,,0.0
1,46.95,0.018005
2,49.27,0.032292
1,34.15,0.011156
1,35.98,0.008024
2,43.62,0.016048
1,36.83,0.059301
2,50.56,0.081808
2,52.01,0.058518
2,42.93,0.016048
1,,0.0
3,29.08,0.009786
2,48.42,0.03562
2,46.15,0.045797
2,48.91,0.013113
2,40.11,0.029357
2,33.33,0.002544
2,34.78,0.006263
3,40.0,0.007437
2,46.48,0.006458
2,38.1,0.007828
2,39.09,0.008416
1,48.19,0.018201
2,32.71,0.027204
1,46.71,0.031901
2,58.97,0.009003
1,25.26,0.004697
2,47.74,0.047344
3,33.82,0.004697
1,27.33,0.010373
1,30.15,0.076328
2,37.41,0.016244
1,42.16,0.008416
2,25.83,0.006067
2,44.25,0.009786
2,42.56,0.026225
2,46.01,0.024855
1,38.37,0.006458
1,40.74,0.033467
2,50.0,0.000196
1,29.95,0.012134
3,19.61,0.001957
2,33.33,0.010764
2,25.81,0.004697
1,41.94,0.005089
2,44.38,0.013113
2,46.01,0.021333
2,46.12,0.016244
1,44.67,0.013113
2,35.54,0.016831
2,42.57,0.01233
1,33.65,0.00685
2,36.89,0.052033
3,51.22,0.00822
3,42.74,0.044987
3,36.59,0.036794
3,39.29,0.019375
1,44.61,0.201966
2,29.46,0.020354
1,39.0,0.042274
1,45.05,0.009786
2,40.64,0.014874
1,25.22,0.005676
1,30.08,0.021137
2,33.6,0.016831
2,52.65,0.015657
2,37.83,0.008807
1,27.5,0.015657
2,43.04,0.021724
1,20.58,0.011156
2,21.53,0.012134
1,31.34,0.01233
2,36.67,0.008611
2,35.91,0.018201
2,55.97,0.017418
1,33.16,0.022898
2,38.45,0.058518
3,35.88,0.031305
3,56.04,0.038146
2,44.83,0.027987
2,30.65,0.053598
1,31.4,0.005284
1,51.64,0.06769
1,55.34,0.019375
1,44.35,0.029152
2,71.76,0.011938
1,41.38,0.009394
1,22.8,0.018201
2,29.8,0.051472
1,40.73,0.024073
1,41.14,0.012721
1,39.47,0.047558
2,40.08,0.050885
2,49.32,0.007046
1,30.44,0.030727
3,30.74,0.016244
3,21.43,0.000587
1,52.39,0.05165
1,42.59,0.012917
1,32.53,0.012917
1,50.15,0.035228
2,41.3,0.033858
1,49.74,0.018984
2,43.58,0.053803
1,40.0,0.009394
3,35.85,0.028965
1,42.08,0.011938
1,26.49,0.014874
3,37.51,0.011743
2,43.54,0.012526
2,45.85,0.0411
1,31.43,0.008611
2,30.18,0.036794
1,36.03,0.026225
3,45.43,0.034036
2,33.53,0.01096
2,46.7,0.026217
3,37.91,0.045387
3,47.59,0.057717
3,41.97,0.027586
3,34.2,0.081968
3,35.68,0.028761
1,39.96,0.026421
2,39.95,0.021333
2,41.92,0.020745
1,28.18,0.026412
2,43.0,0.01918
1,32.66,0.025238
1,36.04,0.042656
1,45.59,0.026225
1,34.27,0.021724
1,33.19,0.0137
2,41.98,0.013308
1,46.46,0.011547
1,40.62,0.036002
1,43.88,0.056748
2,43.45,0.01233
2,50.41,0.012134
2,53.42,0.033654
2,28.38,0.00822
1,36.48,0.03562
3,41.4,0.028183
2,37.56,0.014483
2,31.64,0.014483
2,53.99,0.057344
2,41.83,0.030531
2,34.1,0.014483
2,34.12,0.017027
2,24.2,0.013113
1,34.9,0.040495
1,42.42,0.045975
2,41.87,0.041286
1,45.0,0.028965
1,37.69,0.00959
1,50.0,0.003914
2,53.9,0.041865
2,44.91,0.085491
2,43.54,0.032284
2,40.65,0.009786
1,39.17,0.009198
2,41.48,0.02192
1,49.24,0.0448
1,39.82,0.017223
2,41.75,0.02329
2,42.65,0.020941
2,51.36,0.044818
2,31.25,0.003914
3,33.82,0.009003
1,45.77,0.035815
3,51.15,0.026617
2,38.7,0.026421
2,45.57,0.057148
2,52.84,0.02192
1,43.41,0.01096
1,33.69,0.01233
2,40.21,0.015266
1,47.47,0.060084
3,41.31,0.017223
3,29.66,0.0137
2,45.89,0.025051
2,58.89,0.057148
2,40.53,0.021333
2,38.68,0.008024
2,28.02,0.012721
2,42.07,0.022311
1,51.85,0.137354
1,46.79,0.207597
1,34.69,0.033662
1,44.1,0.016831
1,41.93,0.0274
1,49.69,0.045405
1,54.52,0.114652
1,30.8,0.022115
1,45.17,0.060084
1,37.38,0.047531
2,45.65,0.00411
2,51.64,0.040512
2,46.1,0.048341
2,42.68,0.018201
1,47.54,0.005676
3,37.37,0.05673
1,33.66,0.296806
1,35.98,0.027595
1,32.51,0.017614
3,24.2,0.030531
3,32.35,0.01507
2,35.13,0.016636
2,36.47,0.012134
2,47.13,0.095899
3,37.81,0.049124
2,57.72,0.049907
2,54.57,0.080811
2,49.59,0.034837
2,51.26,0.019963
1,45.47,0.036207
1,63.29,0.064754
1,74.88,0.03384
1,48.37,0.086683
1,57.26,0.013113
1,39.92,0.049124
3,37.29,0.004306
1,43.15,0.01233
1,54.2,0.013896
1,47.28,0.069834
1,48.78,0.368196
1,41.43,0.016048
3,41.24,0.023485
3,46.12,0.031314
3,32.77,0.015266
2,43.92,0.012721
2,42.37,0.004893
3,42.96,0.011938
3,38.67,0.019375
3,34.03,0.051864
3,35.77,0.076906
1,29.27,0.011743
2,50.53,0.086309
1,35.59,0.00411
3,41.28,0.008807
3,58.33,0.00137
3,30.19,0.018788
2,40.67,0.085704
1,44.23,0.004501
2,46.74,0.016831
1,42.59,0.018005
2,49.1,0.052255
2,48.84,0.01644
1,45.62,0.039721
2,52.7,0.007633
2,39.71,0.010568
2,45.26,0.02055
3,53.79,0.018201
2,29.9,0.022115
2,40.23,0.038164
2,43.43,0.021333
1,,0.0
1,49.29,0.033458
1,44.32,0.047949
2,31.22,0.022115
1,54.89,0.029748
2,55.08,0.198585
2,48.4,0.020745
2,38.43,0.077297
3,51.92,0.195667
1,,0.0
3,32.8,0.03562
3,39.6,0.034641
2,55.51,0.025638
2,55.56,0.007828
2,44.34,0.009198
1,30.71,0.019767
1,34.11,0.008611
1,46.84,0.018788
1,57.13,0.044818
2,60.91,0.052451
1,43.22,0.055974
1,38.93,0.029553
2,42.4,0.010373
2,47.14,0.020941
2,47.82,0.084939
3,35.9,0.00822
2,50.74,0.027791
2,56.27,0.059665
3,53.01,0.008611
3,34.72,0.032684
3,35.12,0.015461
2,57.43,0.011351
3,25.29,0.008611
3,45.59,0.057344
2,47.06,0.006263
3,44.65,0.018788
3,38.39,0.032292
3,53.7,0.011351
1,31.2,0.055974
1,46.39,0.018788
2,41.09,0.065359
2,56.83,0.039133
3,38.71,0.002349
1,39.64,0.013113
2,49.42,0.016636
1,48.0,0.021128
1,30.21,0.008807
1,44.08,0.025443
1,28.77,0.012721
3,38.46,0.017614
3,33.46,0.037772
